"","date","bioguide_id","count_protest","count_protest_size","count_non_normative","count_violent","count_palestine_protests","size_palestine_protests","non_normative_palestine_protests","violent_palestine_protests","count_israel_protests","size_israel_protests","non_normative_israel_protests","violent_israel_protests","count_neutral_protests","size_neutral_protests","non_normative_neutral_protests","violent_neutral_protests"
"143","2023-07-08","J000298",1,50,0,0,1,50,0,0,0,0,0,0,0,0,0,0
"144","2023-07-08","S001218",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"145","2023-07-13","A000148",1,130,0,0,0,0,0,0,1,130,0,0,0,0,0,0
"146","2023-07-14","G000551",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"147","2023-07-14","M001211",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"148","2023-07-14","P000197",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"149","2023-07-14","W000828",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"150","2023-07-20","G000599",1,500,0,0,1,500,0,0,0,0,0,0,0,0,0,0
"151","2023-07-21","G000551",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"152","2023-07-21","M001211",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"153","2023-07-21","W000828",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"154","2023-07-26","M001160",1,6,0,0,1,6,0,0,0,0,0,0,0,0,0,0
"155","2023-07-28","G000551",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"156","2023-07-28","M001211",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"157","2023-07-28","P000197",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"158","2023-07-28","W000828",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"159","2023-07-30","J000298",1,350,0,0,1,350,0,0,0,0,0,0,0,0,0,0
"160","2023-08-04","G000551",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"161","2023-08-04","M001211",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"162","2023-08-04","W000828",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"163","2023-08-11","G000551",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"164","2023-08-11","M001211",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"165","2023-08-11","W000828",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"166","2023-08-18","G000551",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"167","2023-08-18","M001211",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"168","2023-08-18","W000828",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"169","2023-08-25","G000551",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"170","2023-08-25","M001211",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"171","2023-08-25","W000828",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"172","2023-09-01","G000551",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"173","2023-09-01","M001211",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"174","2023-09-01","W000828",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"175","2023-09-08","G000551",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"176","2023-09-08","M001211",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"177","2023-09-08","W000828",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"178","2023-09-15","G000551",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"179","2023-09-15","M001211",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"180","2023-09-15","W000828",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"181","2023-09-21","P000608",1,5,0,0,1,5,0,0,0,0,0,0,0,0,0,0
"182","2023-09-22","G000551",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"183","2023-09-22","G000599",1,162,0,0,1,162,0,0,0,0,0,0,0,0,0,0
"184","2023-09-22","M001211",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"185","2023-09-22","W000828",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"186","2023-09-29","G000551",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"187","2023-09-29","M001211",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"188","2023-09-29","W000828",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"189","2023-10-03","O000173",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"190","2023-10-06","G000551",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"191","2023-10-06","M001211",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"192","2023-10-06","W000828",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"193","2023-10-07","D000197",1,60,0,0,1,60,0,0,0,0,0,0,0,0,0,0
"194","2023-10-07","G000551",1,30,0,0,1,30,0,0,0,0,0,0,0,0,0,0
"195","2023-10-07","G000599",3,99,0,0,2,54,0,0,1,45,0,0,0,0,0,0
"196","2023-10-08","B001278",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"197","2023-10-08","B001282",1,100,0,0,1,100,0,0,0,0,0,0,0,0,0,0
"198","2023-10-08","C001066",2,150,2,0,2,150,2,0,1,25,1,0,0,0,0,0
"199","2023-10-08","C001110",1,200,0,0,1,200,0,0,0,0,0,0,0,0,0,0
