"","date","bioguide_id","count_statement","sum_legislative_discussion","sum_bipartisan","sum_attack","sum_floor","sum_newsletters","sum_source_statements"
"211","2023-07-18","J000294",1,0,0,0,0,0,1
"212","2023-07-18","K000400",1,0,0,0,0,1,0
"213","2023-07-18","L000566",2,2,0,0,0,0,2
"214","2023-07-18","L000599",1,1,0,0,1,0,0
"215","2023-07-18","L000601",1,0,0,0,1,0,0
"216","2023-07-18","M000871",1,1,0,0,0,1,0
"217","2023-07-18","M001137",2,2,1,0,2,0,0
"218","2023-07-18","M001143",6,4,0,0,6,0,0
"219","2023-07-18","M001157",1,0,0,0,1,0,0
"220","2023-07-18","N000193",2,1,0,0,2,0,0
"221","2023-07-18","P000048",1,0,0,0,1,0,0
"222","2023-07-18","P000607",2,0,0,0,0,0,2
"223","2023-07-18","P000617",1,0,0,0,0,0,1
"224","2023-07-18","S000344",2,1,0,0,2,0,0
"225","2023-07-18","S001176",1,1,0,0,0,1,0
"226","2023-07-18","T000481",1,0,0,0,1,0,0
"227","2023-07-18","W000795",2,1,0,0,2,0,0
"228","2023-07-19","G000565",12,0,1,0,0,12,0
"229","2023-07-19","L000564",5,0,0,0,0,5,0
"230","2023-07-19","S000344",1,1,0,0,0,0,1
"231","2023-07-19","S000522",2,2,0,0,0,0,2
"232","2023-07-20","B000668",1,1,0,0,0,1,0
"233","2023-07-20","L000601",1,1,0,0,0,1,0
"234","2023-07-20","P000034",3,0,1,0,0,3,0
"235","2023-07-21","B001313",1,1,0,0,0,1,0
"236","2023-07-21","B001314",2,2,0,0,0,2,0
"237","2023-07-21","C001051",1,0,0,0,0,1,0
"238","2023-07-21","C001068",6,6,2,0,0,3,3
"239","2023-07-21","E000215",2,1,0,0,0,2,0
"240","2023-07-21","F000450",3,2,0,0,0,3,0
"241","2023-07-21","H001052",1,0,0,0,0,1,0
"242","2023-07-21","L000599",2,1,0,0,0,2,0
"243","2023-07-21","M001136",2,0,0,0,0,2,0
"244","2023-07-21","M001157",1,1,1,0,0,1,0
"245","2023-07-21","M001159",2,2,1,0,0,2,0
"246","2023-07-21","M001216",1,1,0,0,0,1,0
"247","2023-07-21","P000048",4,4,0,0,0,4,0
"248","2023-07-21","P000615",1,1,0,0,0,1,0
"249","2023-07-21","P000616",1,1,1,0,0,1,0
"250","2023-07-21","S001135",2,0,0,0,0,2,0
"251","2023-07-21","T000165",1,1,0,0,0,1,0
"252","2023-07-21","T000467",1,0,0,0,0,1,0
"253","2023-07-21","V000129",2,0,0,0,0,2,0
"254","2023-07-21","W000809",2,2,0,0,0,2,0
"255","2023-07-21","W000814",2,2,0,0,0,2,0
"256","2023-07-21","W000826",3,2,0,0,0,3,0
"257","2023-07-22","B001303",1,0,0,0,0,1,0
"258","2023-07-22","D000594",1,1,0,0,0,1,0
"259","2023-07-22","G000061",2,0,0,0,0,2,0
"260","2023-07-22","J000307",2,1,1,0,0,2,0
"261","2023-07-22","K000398",1,1,1,0,0,1,0
"262","2023-07-22","L000597",2,2,0,0,0,2,0
"263","2023-07-22","M001199",1,1,1,0,0,1,0
"264","2023-07-22","S001224",2,2,0,0,0,2,0
"265","2023-07-22","T000478",3,3,1,0,0,3,0
"266","2023-07-22","W000798",2,2,0,0,0,2,0
"267","2023-07-23","A000372",1,0,0,0,0,1,0
"268","2023-07-23","B001311",1,1,0,0,0,1,0
"269","2023-07-23","G000565",3,1,0,0,0,3,0
"270","2023-07-23","G000594",3,2,0,0,0,3,0
"271","2023-07-23","G000597",1,0,0,0,0,1,0
"272","2023-07-23","H001096",2,1,0,0,0,2,0
"273","2023-07-23","J000295",4,2,0,0,0,4,0
"274","2023-07-23","K000392",2,1,0,0,0,2,0
"275","2023-07-23","M001156",1,1,0,0,0,1,0
"276","2023-07-23","M001205",2,2,0,0,0,2,0
"277","2023-07-23","M001215",2,2,0,0,0,2,0
"278","2023-07-23","R000610",2,1,0,0,0,2,0
"279","2023-07-23","S001199",1,1,1,0,0,1,0
"280","2023-07-23","S001214",3,2,0,0,0,3,0
"281","2023-07-23","S001221",1,0,0,0,0,1,0
"282","2023-07-23","W000816",1,1,0,0,0,1,0
"283","2023-07-24","D000626",2,0,0,0,0,2,0
"284","2023-07-24","F000471",3,2,0,0,0,3,0
"285","2023-07-24","G000593",3,1,0,0,0,3,0
"286","2023-07-24","L000564",5,3,0,0,0,5,0
"287","2023-07-24","S001195",1,1,0,0,0,1,0
"288","2023-07-24","T000481",4,0,0,0,0,4,0
"289","2023-07-24","W000812",3,1,0,0,0,3,0
"290","2023-07-25","G000583",4,1,2,0,4,0,0
"291","2023-07-25","K000399",2,1,0,0,0,2,0
"292","2023-07-25","P000607",4,2,0,0,0,0,4
"293","2023-07-25","S001190",5,1,0,0,0,5,0
"294","2023-07-25","W000806",3,1,0,0,0,3,0
"295","2023-07-26","A000148",1,0,0,0,0,1,0
"296","2023-07-26","C001118",4,3,0,0,0,4,0
"297","2023-07-26","M001194",1,1,1,0,0,1,0
"298","2023-07-26","R000610",3,1,0,0,0,3,0
"299","2023-07-27","C001112",1,1,0,1,1,0,0
"300","2023-07-27","T000486",1,0,0,0,1,0,0
"301","2023-07-28","C001133",3,1,0,0,0,3,0
"302","2023-07-28","D000632",1,0,0,0,0,1,0
"303","2023-07-28","M000317",2,1,0,1,0,2,0
"304","2023-07-28","M001213",1,1,0,0,0,1,0
"305","2023-07-28","P000616",3,1,2,0,0,3,0
"306","2023-07-28","S001190",4,0,0,0,0,0,4
"307","2023-07-30","G000565",1,0,0,0,0,1,0
"308","2023-07-31","C001115",1,0,0,0,0,1,0
"309","2023-07-31","W000812",1,0,1,0,0,1,0
"310","2023-08-01","D000600",2,1,0,0,0,2,0
"311","2023-08-01","M001212",1,1,0,0,0,1,0
"312","2023-08-02","L000566",2,2,1,0,0,2,0
"313","2023-08-03","S001196",1,0,0,0,0,1,0
"314","2023-08-04","F000469",1,0,0,0,0,1,0
"315","2023-08-05","M001216",1,1,0,0,0,1,0
"316","2023-08-05","S001223",1,1,1,0,0,1,0
"317","2023-08-06","G000565",3,2,2,0,0,3,0
"318","2023-08-06","G000597",2,0,0,0,0,2,0
"319","2023-08-06","J000294",3,0,0,0,0,0,3
"320","2023-08-08","R000614",2,0,0,0,0,2,0
"321","2023-08-10","L000601",1,1,0,0,0,1,0
"322","2023-08-11","N000194",1,0,0,0,0,1,0
"323","2023-08-11","W000814",1,0,0,0,0,1,0
"324","2023-08-12","T000478",3,1,0,0,0,3,0
"325","2023-08-17","L000601",4,1,0,0,0,4,0
"326","2023-08-25","C001053",1,1,0,0,0,1,0
"327","2023-08-29","D000600",8,6,1,0,0,8,0
"328","2023-09-02","L000595",1,1,0,0,0,1,0
"329","2023-09-02","T000478",3,1,0,0,0,3,0
"330","2023-09-06","P000616",1,0,0,0,0,1,0
"331","2023-09-08","N000002",1,0,0,0,0,1,0
"332","2023-09-08","T000165",1,1,0,0,0,1,0
"333","2023-09-09","G000576",1,0,0,0,0,1,0
"334","2023-09-09","S001196",2,0,0,0,0,2,0
"335","2023-09-10","F000468",1,1,0,0,0,1,0
"336","2023-09-12","D000631",1,0,0,0,1,0,0
"337","2023-09-12","K000399",1,0,0,0,1,0,0
"338","2023-09-12","S001221",1,0,0,0,0,1,0
"339","2023-09-13","W000795",1,1,1,0,1,0,0
"340","2023-09-15","D000615",1,0,0,0,0,1,0
"341","2023-09-15","M001157",2,0,0,0,0,2,0
"342","2023-09-15","P000048",1,0,0,0,0,1,0
"343","2023-09-18","P000048",1,0,0,0,0,1,0
"344","2023-09-18","W000812",2,0,0,0,0,2,0
"345","2023-09-19","N000147",1,0,0,0,0,1,0
"346","2023-09-20","C001101",1,0,0,0,1,0,0
